Date,Time,Day,Mouse,Hormone,Antibiotics,Full_Group,Weight_g
9/19/24,1:30 PM,D8,606,PGH,Non_ABX,PGH_Non_ABX,20.8
9/11/24,2:00 PM,D-4,611,PGH,ABX,PGH_ABX,20.9
9/12/24,2:15 PM,D-3,611,PGH,ABX,PGH_ABX,19.4
9/13/24,4:00 PM,D-2,611,PGH,ABX,PGH_ABX,19.6
9/14/24,12:15 PM,D-1,611,PGH,ABX,PGH_ABX,20.9
9/15/24,10:00 AM,D0,611,PGH,ABX,PGH_ABX,21
9/16/24,9:30 AM,D2,611,PGH,ABX,PGH_ABX,21.2
9/17/24,8:00 AM,D3 ,611,PGH,ABX,PGH_ABX,21.1
9/18/24,9:00 AM,D4,611,PGH,ABX,PGH_ABX,21.5
9/19/24,8:00 AM,D5,611,PGH,ABX,PGH_ABX,21.1
9/20/24,9:00 AM,D6,611,PGH,ABX,PGH_ABX,22.6
9/21/24,9:00 AM,D7,611,PGH,ABX,PGH_ABX,23.3
9/22/24,8:45 AM,D8,611,PGH,ABX,PGH_ABX,22.9
9/11/24,2:30 PM,D-4,612,PGH,ABX,PGH_ABX,19.2
9/12/24,2:15 PM,D-3,612,PGH,ABX,PGH_ABX,17.8
9/13/24,1:00 PM,D-2,612,PGH,ABX,PGH_ABX,18.2
9/14/24,3:00 PM,D-1,612,PGH,ABX,PGH_ABX,19.7
9/15/24,10:00 AM,D0,612,PGH,ABX,PGH_ABX,20.5
9/16/24,9:30 AM,D2,612,PGH,ABX,PGH_ABX,20.3
9/17/24,8:00 AM,D3 ,612,PGH,ABX,PGH_ABX,19.9
9/18/24,9:00 AM,D4,612,PGH,ABX,PGH_ABX,20.5
9/19/24,8:00 AM,D5,612,PGH,ABX,PGH_ABX,20
9/20/24,9:00 AM,D6,612,PGH,ABX,PGH_ABX,21.2
9/21/24,9:00 AM,D7,612,PGH,ABX,PGH_ABX,22
9/22/24,8:45 AM,D8,612,PGH,ABX,PGH_ABX,21.4
9/11/24,2:30 PM,D-4,613,PGH,ABX,PGH_ABX,19.9
9/12/24,2:15 PM,D-3,613,PGH,ABX,PGH_ABX,18.7
9/13/24,1:00 PM,D-2,613,PGH,ABX,PGH_ABX,20
9/14/24,3:00 PM,D-1,613,PGH,ABX,PGH_ABX,20.8
9/15/24,10:00 AM,D0,613,PGH,ABX,PGH_ABX,20.6
9/16/24,9:30 AM,D2,613,PGH,ABX,PGH_ABX,20.2
9/17/24,8:00 AM,D3 ,613,PGH,ABX,PGH_ABX,20.5
9/18/24,9:00 AM,D4,613,PGH,ABX,PGH_ABX,21
9/19/24,8:00 AM,D5,613,PGH,ABX,PGH_ABX,20.4
9/20/24,9:00 AM,D6,613,PGH,ABX,PGH_ABX,22.4
9/21/24,9:00 AM,D7,613,PGH,ABX,PGH_ABX,22.5
9/22/24,8:45 AM,D8,613,PGH,ABX,PGH_ABX,22.1
9/11/24,2:00 PM,D-4,614,PGH,ABX,PGH_ABX,20.6
9/12/24,2:15 PM,D-3,614,PGH,ABX,PGH_ABX,20.4
9/13/24,4:00 PM,D-2,614,PGH,ABX,PGH_ABX,20.1
9/14/24,12:15 PM,D-1,614,PGH,ABX,PGH_ABX,21.1
9/15/24,10:00 AM,D0,614,PGH,ABX,PGH_ABX,21.4
9/16/24,9:30 AM,D2,614,PGH,ABX,PGH_ABX,21
9/17/24,8:00 AM,D3 ,614,PGH,ABX,PGH_ABX,21.4
9/18/24,9:00 AM,D4,614,PGH,ABX,PGH_ABX,21.6
9/19/24,8:00 AM,D5,614,PGH,ABX,PGH_ABX,21.2
9/20/24,9:00 AM,D6,614,PGH,ABX,PGH_ABX,22.2
9/21/24,9:00 AM,D7,614,PGH,ABX,PGH_ABX,22.1
9/22/24,8:45 AM,D8,614,PGH,ABX,PGH_ABX,21.4
9/11/24,2:30 PM,D-4,615,PGH,ABX,PGH_ABX,20
9/12/24,2:15 PM,D-3,615,PGH,ABX,PGH_ABX,18.5
9/13/24,4:00 PM,D-2,615,PGH,ABX,PGH_ABX,18.8
9/14/24,12:15 PM,D-1,615,PGH,ABX,PGH_ABX,20
9/15/24,10:00 AM,D0,615,PGH,ABX,PGH_ABX,20.6
9/16/24,9:30 AM,D2,615,PGH,ABX,PGH_ABX,20.8
9/17/24,8:00 AM,D3 ,615,PGH,ABX,PGH_ABX,20.8
9/18/24,9:00 AM,D4,615,PGH,ABX,PGH_ABX,21.1
9/19/24,8:00 AM,D5,615,PGH,ABX,PGH_ABX,20.9
9/20/24,9:00 AM,D6,615,PGH,ABX,PGH_ABX,21.6
9/21/24,9:00 AM,D7,615,PGH,ABX,PGH_ABX,22.2
9/22/24,8:45 AM,D8,615,PGH,ABX,PGH_ABX,22.3
