Date,Day,Mouse,Time_min,Blood_glucose,Notes,,,,,
9/21/24,D7,611,60,162,,,,,,
9/21/24,D7,611,90,161.5,,,,,,
9/21/24,D7,611,120,160.5,,,,,,
9/21/24,D7,615,0,182.5,,,,,,
9/21/24,D7,615,15,110,,,,,,
9/21/24,D7,615,30,119.5,,,,,,
9/21/24,D7,615,60,156,,,,,,
9/21/24,D7,615,90,159,,,,,,
9/21/24,D7,615,120,164,,,,,,
9/21/24,D7,714,0,173.5,,,,,,
9/21/24,D7,714,15,88.5,,,,,,
9/21/24,D7,714,30,83,,,,,,
9/21/24,D7,714,60,78,,,,,,
9/21/24,D7,714,90,99,,,,,,
9/21/24,D7,714,120,174.5,,,,,,
9/21/24,D7,715,0,157,,,,,,
9/21/24,D7,715,15,112.5,,,,,,
9/21/24,D7,715,30,94,,,,,,
9/21/24,D7,715,60,104.5,,,,,,
9/21/24,D7,715,90,104,,,,,,
9/21/24,D7,715,120,135,,,,,,
9/21/24,D7,511,0,151,,,,,,
9/21/24,D7,511,15,95.5,,,,,,
9/21/24,D7,511,30,104.5,,,,,,
9/21/24,D7,511,60,148,,,,,,
9/21/24,D7,511,90,155,,,,,,
9/21/24,D7,511,120,162.5,,,,,,
9/21/24,D7,612,0,153.5,,,,,,
9/21/24,D7,612,15,96.5,,,,,,
9/21/24,D7,612,30,98,,,,,,
9/21/24,D7,612,60,115,,,,,,
9/21/24,D7,612,90,158,,,,,,
9/21/24,D7,612,120,193.5,,,,,,
9/21/24,D7,614,0,178,,,,,,
9/21/24,D7,614,15,98.5,,,,,,
9/21/24,D7,614,30,107.5,,,,,,
9/21/24,D7,614,60,160.5,,,,,,
9/21/24,D7,614,90,145.5,,,,,,
9/21/24,D7,614,120,153.5,,,,,,
9/21/24,D7,711,0,140.5,,,,,,
9/21/24,D7,711,15,102,,,,,,
9/21/24,D7,711,30,97,,,,,,
9/21/24,D7,711,60,143,,,,,,
9/21/24,D7,711,90,144.5,,,,,,
9/21/24,D7,711,120,148,,,,,,
9/21/24,D7,716,0,158.5,,,,,,
9/21/24,D7,716,15,95,,,,,,
9/21/24,D7,716,30,97,,,,,,
9/21/24,D7,716,60,132,,,,,,
9/21/24,D7,716,90,146,,,,,,
9/21/24,D7,716,120,166,,,,,,
