Date,Day,Mouse,Time_min,Blood_glucose
9/20/24,D6,716,60,156.5
9/20/24,D6,716,90,174.5
9/20/24,D6,716,120,151
9/20/24,D6,511,0,148.5
9/20/24,D6,511,15,200.5
9/20/24,D6,511,30,176
9/20/24,D6,511,60,170.5
9/20/24,D6,511,90,152.5
9/20/24,D6,511,120,166.5
9/20/24,D6,513,0,150.5
9/20/24,D6,513,15,207.6666667
9/20/24,D6,513,30,182
9/20/24,D6,513,60,192.5
9/20/24,D6,513,90,165.5
9/20/24,D6,513,120,164
9/20/24,D6,515,0,140.5
9/20/24,D6,515,15,259.5
9/20/24,D6,515,30,214.5
9/20/24,D6,515,60,200.5
9/20/24,D6,515,90,184
9/20/24,D6,515,120,175.5
9/20/24,D6,611,0,156.5
9/20/24,D6,611,15,182.5
9/20/24,D6,611,30,181.5
9/20/24,D6,611,60,177.5
9/20/24,D6,611,90,154
9/20/24,D6,611,120,154
9/20/24,D6,613,0,164
9/20/24,D6,613,15,212.5
9/20/24,D6,613,30,193.5
9/20/24,D6,613,60,171
9/20/24,D6,613,90,167.5
9/20/24,D6,613,120,148.5
9/20/24,D6,614,0,164
9/20/24,D6,614,15,261.5
9/20/24,D6,614,30,210
9/20/24,D6,614,60,185
9/20/24,D6,614,90,185
9/20/24,D6,614,120,180
9/20/24,D6,711,0,163
9/20/24,D6,711,15,189
9/20/24,D6,711,30,195.5
9/20/24,D6,711,60,167.5
9/20/24,D6,711,90,180.5
9/20/24,D6,711,120,152
9/20/24,D6,712,0,148
9/20/24,D6,712,15,192.5
9/20/24,D6,712,30,170.5
9/20/24,D6,712,60,159.5
9/20/24,D6,712,90,176.5
9/20/24,D6,712,120,164.5
9/20/24,D6,714,0,159.5
9/20/24,D6,714,15,197
9/20/24,D6,714,30,200
9/20/24,D6,714,60,156
9/20/24,D6,714,90,164.5
9/20/24,D6,714,120,152
